'Titulo','Direção','Nota','Link','Ano','Categoria'
'Harry Potter E As Relíquias Da Morte - Parte 1','David Yates','4.5','https://www.adorocinema.com/filmes/filme-126693/','19 de novembro de 2010','N/A'
'Ilha Do Medo','Martin Scorsese','4.5','https://www.adorocinema.com/filmes/filme-132039/','12 de março de 2010','N/A'
'X-Men: Dias De Um Futuro Esquecido','Bryan Singer','3.7','https://www.adorocinema.com/filmes/filme-195128/','22 de maio de 2014','N/A'
'O Gigante De Ferro','Brad Bird','4.5','https://www.adorocinema.com/filmes/filme-21709/','27 de junho de 2023','N/A'
'Crepúsculo Dos Deuses','Billy Wilder','4.5','https://www.adorocinema.com/filmes/filme-836/','1950','N/A'
'O Pacto','Guy Ritchie','4.5','https://www.adorocinema.com/filmes/filme-297981/','23 de junho de 2023','N/A'
'A Teoria De Tudo','James Marsh','3.1','https://www.adorocinema.com/filmes/filme-222221/','29 de janeiro de 2015','N/A'
'Harry Potter E A Câmara Secreta','Chris Columbus','4.5','https://www.adorocinema.com/filmes/filme-41245/','22 de novembro de 2002','N/A'
'Gênio Indomável','Gus Van Sant','4.5','https://www.adorocinema.com/filmes/filme-363/','20 de fevereiro de 1998','N/A'
'Green Book - O Guia','Peter Farrelly','3.7','https://www.adorocinema.com/filmes/filme-256661/','24 de janeiro de 2019','N/A'
'Corajosos','Alex Kendrick','4.5','https://www.adorocinema.com/filmes/filme-186166/','1 de junho de 2021','N/A'
'Piratas Do Caribe - A Maldição Do Pérola Negra','Gore Verbinski','4.5','https://www.adorocinema.com/filmes/filme-46117/','29 de agosto de 2003','N/A'
'Central Do Brasil','Walter Salles','4.5','https://www.adorocinema.com/filmes/filme-19250/','3 de abril de 1998','N/A'
'Uma Mente Brilhante','Ron Howard','4.5','https://www.adorocinema.com/filmes/filme-28384/','15 de fevereiro de 2002','N/A'
'Curtindo A Vida Adoidado','John Hughes','4.5','https://www.adorocinema.com/filmes/filme-46543/','19 de dezembro de 1986','N/A'
'Capitão América 2 - O Soldado Invernal','Anthony Russo.                                                                                                                                                                                                                                Joe Russo','3.8','https://www.adorocinema.com/filmes/filme-193113/','10 de abril de 2014','N/A'
'Uma Lição De Amor','Jessie Nelson','4.5','https://www.adorocinema.com/filmes/filme-28904/','22 de março de 2002','N/A'
'O Conde De Monte Cristo','Kevin Reynolds','4.5','https://www.adorocinema.com/filmes/filme-29118/','1 de maio de 2002','N/A'
'Rush - No Limite Da Emoção','Ron Howard','4.1','https://www.adorocinema.com/filmes/filme-195370/','13 de setembro de 2013','N/A'
'O Lobo De Wall Street','Martin Scorsese','4.2','https://www.adorocinema.com/filmes/filme-127524/','24 de janeiro de 2014','N/A'
'A Forja - O Poder Da Transformação','Alex Kendrick','4.5','https://www.adorocinema.com/filmes/filme-313384/','26 de setembro de 2024','N/A'
'Robô Selvagem','Chris Sanders','4.5','https://www.adorocinema.com/filmes/filme-268384/','10 de outubro de 2024','N/A'
'Orgulho E Preconceito','Joe Wright','4.5','https://www.adorocinema.com/filmes/filme-59068/','10 de fevereiro de 2006','N/A'
'Mad Max: Estrada Da Fúria','George Miller','4.3','https://www.adorocinema.com/filmes/filme-125054/','14 de maio de 2015','N/A'
'Escritores Da Liberdade','Richard LaGravenese','4.5','https://www.adorocinema.com/filmes/filme-60975/','27 de agosto de 2007','N/A'
